Commodity code,Measurement unit,Measurement unit qualifier,Combined,Chief unit
2203000100,ASV,X,ASVX,099
2203000900,ASV,X,ASVX,100
2203001000,ASV,X,ASVX,101
2206003900,ASV,X,ASVX,102
2206005900,ASV,X,ASVX,103
2206008900,ASV,X,ASVX,104
2204109100,HLT,,HLT,078
2204109800,HLT,,HLT,078
2204210600,HLT,,HLT,078
2204210700,HLT,,HLT,078
2204210800,HLT,,HLT,078
2204210900,HLT,,HLT,078
2204218010,HLT,,HLT,078
2204218090,HLT,,HLT,078
2204219511,HLT,,HLT,078
2204219611,HLT,,HLT,078
2204219711,HLT,,HLT,078
2204219811,HLT,,HLT,078
2204221000,HLT,,HLT,078
2204229310,HLT,,HLT,078
2204229320,HLT,,HLT,078
2204229330,HLT,,HLT,078
2204229340,HLT,,HLT,078
2204229390,HLT,,HLT,078
2204229710,HLT,,HLT,078
2204229720,HLT,,HLT,078
2204229730,HLT,,HLT,078
2204229740,HLT,,HLT,078
2204229790,HLT,,HLT,078
2204229811,HLT,,HLT,078
2204291000,HLT,,HLT,078
2204299310,HLT,,HLT,078
2204299320,HLT,,HLT,078
2204299330,HLT,,HLT,078
2204299340,HLT,,HLT,078
2204299390,HLT,,HLT,078
2204299710,HLT,,HLT,078
2204299720,HLT,,HLT,078
2204299730,HLT,,HLT,078
2204299740,HLT,,HLT,078
2204299790,HLT,,HLT,078
2204299811,HLT,,HLT,078
2204301000,HLT,,HLT,078
2205101000,HLT,,HLT,078
2205901000,HLT,,HLT,078
2206001000,HLT,,HLT,078
2206003100,HLT,,HLT,078
2206003900,HLT,,HLT,078
2206005100,HLT,,HLT,078
2206005900,HLT,,HLT,078
2206008100,HLT,,HLT,078
2206008900,HLT,,HLT,078
2208701000,HLT,,HLT,078
2208709000,HLT,,HLT,078
2208906900,HLT,,HLT,078
2204101300,LPA,,LPA,066
2204101500,LPA,,LPA,066
2204109300,LPA,,LPA,066
2204109400,LPA,,LPA,066
2204109600,LPA,,LPA,066
2204109800,LPA,,LPA,066
2204210600,LPA,,LPA,066
2204210700,LPA,,LPA,066
2204210800,LPA,,LPA,066
2204210900,LPA,,LPA,066
2204218595,LPA,,LPA,066
2204218695,LPA,,LPA,066
2204218795,LPA,,LPA,066
2204218895,LPA,,LPA,066
2204218995,LPA,,LPA,066
2204219095,LPA,,LPA,066
2204219195,LPA,,LPA,066
2204219351,LPA,,LPA,066
2204219451,LPA,,LPA,066
2204219495,LPA,,LPA,066
2204219551,LPA,,LPA,066
2204219695,LPA,,LPA,066
2204219751,LPA,,LPA,066
2204219851,LPA,,LPA,066
2204219895,LPA,,LPA,066
2204221000,LPA,,LPA,066
2204228590,LPA,,LPA,066
2204228690,LPA,,LPA,066
2204228890,LPA,,LPA,066
2204229090,LPA,,LPA,066
2204229190,LPA,,LPA,066
2204229390,LPA,,LPA,066
2204229451,LPA,,LPA,066
2204229495,LPA,,LPA,066
2204229590,LPA,,LPA,066
2204229651,LPA,,LPA,066
2204229695,LPA,,LPA,066
2204229790,LPA,,LPA,066
2204229851,LPA,,LPA,066
2204229895,LPA,,LPA,066
2204291000,LPA,,LPA,066
2204298599,LPA,,LPA,066
2204298699,LPA,,LPA,066
2204298899,LPA,,LPA,066
2204299099,LPA,,LPA,066
2204299199,LPA,,LPA,066
2204299390,LPA,,LPA,066
2204299451,LPA,,LPA,066
2204299495,LPA,,LPA,066
2204299590,LPA,,LPA,066
2204299651,LPA,,LPA,066
2204299695,LPA,,LPA,066
2204299790,LPA,,LPA,066
2204299851,LPA,,LPA,066
2204299895,LPA,,LPA,066
2204301000,LPA,,LPA,066
2205109000,LPA,,LPA,066
2205909000,LPA,,LPA,066
2206003900,LPA,,LPA,066
2206005900,LPA,,LPA,066
2206008900,LPA,,LPA,066
2207100011,LPA,,LPA,066
2207100019,LPA,,LPA,066
2207100090,LPA,,LPA,066
2207200011,LPA,,LPA,066
2207200019,LPA,,LPA,066
2207200090,LPA,,LPA,066
1515905900,LTR,,LTR,076
2707100010,LTR,,LTR,076
2707100090,LTR,,LTR,076
2707200010,LTR,,LTR,076
2707200090,LTR,,LTR,076
2707300010,LTR,,LTR,076
2707300090,LTR,,LTR,076
2707500020,LTR,,LTR,076
2707500080,LTR,,LTR,076
2707910000,LTR,,LTR,076
2707991100,LTR,,LTR,076
2707991900,LTR,,LTR,076
2707992010,LTR,,LTR,076
2707992090,LTR,,LTR,076
2710121100,LTR,,LTR,076
2710121500,LTR,,LTR,076
2710122100,LTR,,LTR,076
2710122500,LTR,,LTR,076
2710123100,LTR,,LTR,076
2710124100,LTR,,LTR,076
2710124500,LTR,,LTR,076
2710124900,LTR,,LTR,076
2710125000,LTR,,LTR,076
2710127000,LTR,,LTR,076
2710129000,LTR,,LTR,076
2710191100,LTR,,LTR,076
2710191500,LTR,,LTR,076
